SAG,Module_ID,Submodule_ID,16S-based_lineage,Silva_16S_classification,CheckM_classification,Estimated_cell_diameter_µm,"Aassembly_length, bp",Contigs_count,Longest_contig_length,GC_content_%,Genome_completeness_%,Raw_read_count,Field_Sample_ID,Cruise,Feature,Lattitude,Longitude,Depth_m,Sample_collection_date
AG-893-O16,1,1,SAR11_Surface1_Alphaproteobacteria,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SAR11_clade;f__Surface_1;g__?;s__?,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Pelagibacteraceae;unresolved,0.26,1174661,26,293767,29.46254281,86.0,3278662,SWC-09,BATS ML,BATS Mixed Layer ~20% narB,31.07 N,-64.17 E,10,7/1/09
AG-430-I18,1,1,SAR11_Surface1_Alphaproteobacteria,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SAR11_clade;f__Surface_1;g__?;s__?,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Pelagibacteraceae;unresolved,<0.5,1181295,23,213914,29.339242100000003,89.0,3038406,SWC-16,GEOTRACES,Over Mid-Atlantic Ridge,26.14 N,-44.83 E,90,11/1/11
AG-916-M06,1,1,SAR11_Surface1_Alphaproteobacteria,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SAR11_clade;f__Surface_1;g__?;s__?,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Pelagibacteraceae;g__Candidatus_Pelagibacter-like;s__Candidatus_Pelagibacter-like_SAR11,0.18,1065066,37,116668,30.10573993,84.0,2962131,SWC-09,BATS ML,BATS Mixed Layer ~20% narB,31.07 N,-64.17 E,10,7/1/09
AG-895-K10,1,1,SAR11_Surface1_Alphaproteobacteria,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SAR11_clade;f__Surface_1;g__?;s__?,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Pelagibacteraceae;g__Candidatus_Pelagibacter-like;o__;f__;g__;s__,0.28,1109734,7,605495,29.41993307,93.0,3131644,SWC-09,BATS ML,BATS Mixed Layer ~20% narB,31.07 N,-64.17 E,10,7/1/09
AG-898-J19,1,1,SAR11_Surface1_Alphaproteobacteria,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SAR11_clade;f__Surface_1;g__?;s__?,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Pelagibacteraceae;unresolved,0.19,1095549,22,238385,29.365003299999998,89.0,3073012,SWC-09,BATS ML,BATS Mixed Layer ~20% narB,31.07 N,-64.17 E,10,7/1/09
AG-907-C04,1,1,SAR11_Surface1_Alphaproteobacteria,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SAR11_clade;f__Surface_1;g__?;s__?,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Pelagibacteraceae;g__Candidatus_Pelagibacter-like;unresolved,0.34,1127636,21,345195,29.32222809,86.0,4060265,SWC-09,BATS ML,BATS Mixed Layer ~20% narB,31.07 N,-64.17 E,10,7/1/09
AG-894-L17,1,1,SAR11_Surface1_Alphaproteobacteria,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SAR11_clade;f__Surface_1;g__?;s__?,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Pelagibacteraceae;unresolved,0.28,1271885,28,235793,29.52483912,86.0,3109088,SWC-09,BATS ML,BATS Mixed Layer ~20% narB,31.07 N,-64.17 E,10,7/1/09
AG-422-B19,1,1,SAR11_Surface1_Alphaproteobacteria,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SAR11_clade;f__Surface_1;g__?;s__?,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Pelagibacteraceae;unresolved,<0.5,1031911,38,218160,29.15009143,81.0,3398620,SWC-14,GEOTRACES,Coastal North Africa,24.00 N,-22.00 E,60,10/1/10
AG-325-P23,1,1,SAR11_Surface1_Alphaproteobacteria,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SAR11_clade;f__Surface_1;g__?;s__?,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Pelagibacteraceae;unresolved,<0.5,1049953,46,156274,29.69075759,86.0,2787770,SWC-03,BiG-RAPA,"Mixed layer, 50% PAR",-23.46 N,-88.77 E,14,12/1/10
AG-896-O18,1,1,SAR11_Surface1_Alphaproteobacteria,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SAR11_clade;f__Surface_1;g__?;s__?,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Pelagibacteraceae;g__Candidatus_Pelagibacter-like;s__Candidatus_Pelagibacter-like_SAR11,0.25,1292334,33,202382,29.20893515,90.0,3763009,SWC-09,BATS ML,BATS Mixed Layer ~20% narB,31.07 N,-64.17 E,10,7/1/09
AG-447-N08,1,1,SAR11_Surface1_Alphaproteobacteria,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SAR11_clade;f__Surface_1;g__?;s__?,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Pelagibacteraceae;g__Candidatus_Pelagibacter-like;o__;f__;g__;s__,<0.5,1180510,21,400559,28.61390416,94.0,3228883,SWC-19,GEOTRACES,Off the SW coast of South Africa,-34.98 N,16.02 E,20,11/1/10
AG-891-C15,1,1,SAR11_Surface1_Alphaproteobacteria,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SAR11_clade;f__Surface_1;g__?;s__?,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Pelagibacteraceae;g__Candidatus_Pelagibacter-like;unresolved,0.25,1168899,19,284656,29.64071318,95.0,3176587,SWC-09,BATS ML,BATS Mixed Layer ~20% narB,31.07 N,-64.17 E,10,7/1/09
AG-337-E19,1,1,SAR11_Surface1_Alphaproteobacteria,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SAR11_clade;f__Surface_1;g__?;s__?,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Pelagibacteraceae;unresolved,<0.5,1121981,47,283213,29.37384858,84.0,3191567,SWC-05,BiG-RAPA,"Mixed layer, 50% PAR",-26.25 N,-103.96 E,14,12/1/10
AG-905-E11,1,1,SAR11_Surface1_Alphaproteobacteria,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SAR11_clade;f__Surface_1;g__?;s__?,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Pelagibacteraceae;unresolved,0.34,1320466,28,294918,29.28587332,93.0,5053178,SWC-09,BATS ML,BATS Mixed Layer ~20% narB,31.07 N,-64.17 E,10,7/1/09
AG-343-K02,1,1,SAR11_Surface1_Alphaproteobacteria,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SAR11_clade;f__Surface_1;g__?;s__?,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Pelagibacteraceae;unresolved,<0.5,973691,34,136800,28.03168562,87.0,2474645,SWC-06,BiG-RAPA,"DCM, only 3% of Pro detected by qPCR",-26.25 N,-103.96 E,180,12/1/10
AG-422-B23,1,4,SAR11_Unclass_Alphaproteobacteria,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SAR11_clade;f__?;g__?;s__?,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Pelagibacteraceae;g__Candidatus_Pelagibacter;s__Candidatus_Pelagibacter_ubique,<0.5,901930,30,162757,29.6709279,85.0,3679995,SWC-14,GEOTRACES,Coastal North Africa,24.00 N,-22.00 E,60,10/1/10
AG-912-D17,1,4,SAR11_Unclass_Alphaproteobacteria,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SAR11_clade;f__?;g__?;s__?,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Pelagibacteraceae;g__Candidatus_Pelagibacter;s__Candidatus_Pelagibacter_ubique,0.23,954469,33,272658,29.71495145,86.0,3998299,SWC-09,BATS ML,BATS Mixed Layer ~20% narB,31.07 N,-64.17 E,10,7/1/09
AG-915-B23,1,4,SAR11_Unclass_Alphaproteobacteria,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SAR11_clade;f__?;g__?;s__?,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Pelagibacteraceae;g__Candidatus_Pelagibacter;s__Candidatus_Pelagibacter_ubique,0.19,950125,22,202936,29.81544534,80.0,4311894,SWC-09,BATS ML,BATS Mixed Layer ~20% narB,31.07 N,-64.17 E,10,7/1/09
AG-910-C16,1,4,SAR11_Unclass_Alphaproteobacteria,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SAR11_clade;f__?;g__?;s__?,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Pelagibacteraceae;g__Candidatus_Pelagibacter;s__Candidatus_Pelagibacter_ubique,0.25,796357,33,257351,29.83624179,80.0,3563858,SWC-09,BATS ML,BATS Mixed Layer ~20% narB,31.07 N,-64.17 E,10,7/1/09
AG-918-M15,1,4,SAR11_Unclass_Alphaproteobacteria,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SAR11_clade;f__?;g__?;s__?,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Pelagibacteraceae;g__Candidatus_Pelagibacter;s__Candidatus_Pelagibacter_ubique,0.18,991549,26,269113,29.64896339,92.0,2584175,SWC-09,BATS ML,BATS Mixed Layer ~20% narB,31.07 N,-64.17 E,10,7/1/09
AG-404-B11,1,4,SAR11_Unclass_Alphaproteobacteria,no SSU regions found,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Pelagibacteraceae;g__Candidatus_Pelagibacter;s__Candidatus_Pelagibacter_ubique,<0.5,815162,27,146186,29.84572392,82.0,5665006,SWC-08,HOT DCM,HOT DCM region >30% narB (HLII and LLI),23.75 N,-158.00 E,100,11/1/09
AG-414-E02,1,4,SAR11_Deep1_Alphaproteobacteria,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SAR11_clade;f__Deep_1;g__?;s__?,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Pelagibacteraceae;g__Candidatus_Pelagibacter;s__Candidatus_Pelagibacter_ubique,<0.5,1142243,11,384656,29.98889028,89.0,14144883,SWC-12,GEOTRACES,"SW edge of Sargosso Sea, N of Puerto Rico",24.71 N,24.71 N,100,6/1/10
AG-422-L15,1,4,SAR11_Unclass_Alphaproteobacteria,no SSU regions found,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Pelagibacteraceae;g__Candidatus_Pelagibacter;s__Candidatus_Pelagibacter_ubique,<0.5,1039215,12,309238,29.55221008,96.0,3033411,SWC-14,GEOTRACES,Coastal North Africa,24.00 N,-22.00 E,60,10/1/10
AH-326-G20,1,4,SAR11_Surface2_Alphaproteobacteria,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SAR11_clade;f__Surface_2;g__?;s__?,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Pelagibacteraceae;g__Candidatus_Pelagibacter;s__Candidatus_Pelagibacter_ubique,0.21,893363,29,171744,29.65043325,80.0,2759637,137 Fiji-Hawaii 2007,5 c.1,equatorial,5 N,-162 E,100,4/26/07
AG-435-M21,1,4,SAR11_Unclass_Alphaproteobacteria,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SAR11_clade;f__?;g__?;s__?,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Pelagibacteraceae;g__Candidatus_Pelagibacter;s__Candidatus_Pelagibacter_ubique,<0.5,852052,39,143470,29.74583711,81.0,3314665,SWC-17,GEOTRACES,SE edge of Sargasso Sea,22.33 N,-35.87 E,100,12/1/11
AG-920-I07,1,4,SAR11_Unclass_Alphaproteobacteria,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SAR11_clade;f__?;g__?;s__?,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Pelagibacteraceae;g__Candidatus_Pelagibacter;s__Candidatus_Pelagibacter_ubique,0.21,958907,36,150139,29.97308394,87.0,3998926,SWC-09,BATS ML,BATS Mixed Layer ~20% narB,31.07 N,-64.17 E,10,7/1/09
AG-911-G13,1,4,SAR11_Unclass_Alphaproteobacteria,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SAR11_clade;f__?;g__?;s__?,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Pelagibacteraceae;g__Candidatus_Pelagibacter;s__Candidatus_Pelagibacter_ubique,0.22,1000596,23,325324,29.72508385,96.0,3540400,SWC-09,BATS ML,BATS Mixed Layer ~20% narB,31.07 N,-64.17 E,10,7/1/09
AG-919-F21,1,4,SAR11_Surface2_Alphaproteobacteria,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SAR11_clade;f__Surface_2;g__?;s__?,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Pelagibacteraceae;g__Candidatus_Pelagibacter;s__Candidatus_Pelagibacter_ubique,0.18,1059067,14,280087,29.60454815,93.0,3015846,SWC-09,BATS ML,BATS Mixed Layer ~20% narB,31.07 N,-64.17 E,10,7/1/09
AG-895-E15,1,4,SAR11_Unclass_Alphaproteobacteria,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SAR11_clade;f__?;g__?;s__?,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Pelagibacteraceae;g__Candidatus_Pelagibacter;s__Candidatus_Pelagibacter_ubique,0.21,963975,37,144174,30.08158925,87.0,2467091,SWC-09,BATS ML,BATS Mixed Layer ~20% narB,31.07 N,-64.17 E,10,7/1/09
AG-916-O22,1,4,SAR11_Unclass_Alphaproteobacteria,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SAR11_clade;f__?;g__?;s__?,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Pelagibacteraceae;g__Candidatus_Pelagibacter;s__Candidatus_Pelagibacter_ubique,0.21,906151,31,211190,30.13603693,81.0,3002488,SWC-09,BATS ML,BATS Mixed Layer ~20% narB,31.07 N,-64.17 E,10,7/1/09
AH-326-M23,1,4,SAR11_Unclass_Alphaproteobacteria,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SAR11_clade;f__?;g__?;s__?,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Pelagibacteraceae;g__Candidatus_Pelagibacter;s__Candidatus_Pelagibacter_ubique,0.29,835346,33,142374,29.65525662,86.0,2758624,137 Fiji-Hawaii 2007,5 c.1,equatorial,5 N,-162 E,100,4/26/07
AG-912-J06,1,4,SAR11_Unclass_Alphaproteobacteria,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SAR11_clade;f__?;g__?;s__?,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Pelagibacteraceae;g__Candidatus_Pelagibacter;s__Candidatus_Pelagibacter_ubique,0.23,922300,25,157033,29.78445191,89.0,3600023,SWC-09,BATS ML,BATS Mixed Layer ~20% narB,31.07 N,-64.17 E,10,7/1/09
AH-287-E19,1,4,SAR11_Unclass_Alphaproteobacteria,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SAR11_clade;f__?;g__?;s__?,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Pelagibacteraceae;g__Candidatus_Pelagibacter;s__Candidatus_Pelagibacter_ubique,0.23,965361,37,120782,30.09630594,92.0,3601967,117 Fiji-Hawaii 2007,3 c.1,equatorial,-3 N,-166 E,15,4/23/07
AG-337-E15,1,4,SAR11_Unclass_Alphaproteobacteria,no SSU regions found,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Pelagibacteraceae;g__Candidatus_Pelagibacter;s__Candidatus_Pelagibacter_ubique,<0.5,1014038,30,221179,29.60046862,93.0,3285528,SWC-05,BiG-RAPA,"Mixed layer, 50% PAR",-26.25 N,-103.96 E,14,12/1/10
AG-447-P19,1,4,SAR11_Surface2_Alphaproteobacteria,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SAR11_clade;f__Surface_2;g__?;s__?,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Pelagibacteraceae;g__Candidatus_Pelagibacter;s__Candidatus_Pelagibacter_ubique,<0.5,988417,20,176398,29.95203441,81.0,3157648,SWC-19,GEOTRACES,Off the SW coast of South Africa,-34.98 N,16.02 E,20,11/1/10
AG-916-E17,1,4,SAR11_Unclass_Alphaproteobacteria,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SAR11_clade;f__?;g__?;s__?,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Pelagibacteraceae;g__Candidatus_Pelagibacter;s__Candidatus_Pelagibacter_ubique,0.21,992364,19,150439,30.09470315,85.0,3198841,SWC-09,BATS ML,BATS Mixed Layer ~20% narB,31.07 N,-64.17 E,10,7/1/09
AG-422-A21,1,4,SAR11_Unclass_Alphaproteobacteria,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SAR11_clade;f__?;g__?;s__?,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Pelagibacteraceae;g__Candidatus_Pelagibacter;s__Candidatus_Pelagibacter_ubique,<0.5,965521,25,151682,29.75533417,80.0,3237386,SWC-14,GEOTRACES,Coastal North Africa,24.00 N,-22.00 E,60,10/1/10
AG-919-I13,1,4,SAR11_Unclass_Alphaproteobacteria,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SAR11_clade;f__?;g__?;s__?,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Pelagibacteraceae;g__Candidatus_Pelagibacter;s__Candidatus_Pelagibacter_ubique,0.26,1037790,15,250845,29.89776352,95.0,3289086,SWC-09,BATS ML,BATS Mixed Layer ~20% narB,31.07 N,-64.17 E,10,7/1/09
AG-919-M05,1,4,SAR11_Surface2_Alphaproteobacteria,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SAR11_clade;f__Surface_2;g__?;s__?,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Pelagibacteraceae;g__Candidatus_Pelagibacter;s__Candidatus_Pelagibacter_ubique,0.18,1036903,16,265155,29.69737767,93.0,3243795,SWC-09,BATS ML,BATS Mixed Layer ~20% narB,31.07 N,-64.17 E,10,7/1/09
AG-912-D10,1,4,SAR11_Surface3_Alphaproteobacteria,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SAR11_clade;f__Surface_3;g__?;s__?,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Pelagibacteraceae;g__Candidatus_Pelagibacter;s__Candidatus_Pelagibacter_ubique,0.21,977418,17,258375,29.71645703,90.0,3399183,SWC-09,BATS ML,BATS Mixed Layer ~20% narB,31.07 N,-64.17 E,10,7/1/09
AG-349-C11,1,4,SAR11_Unclass_Alphaproteobacteria,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SAR11_clade;f__?;g__?;s__?,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Pelagibacteraceae;g__Candidatus_Pelagibacter;s__Candidatus_Pelagibacter_ubique,<0.5,945422,17,377540,29.98100319,87.0,3504271,SWC-07,HOT ML,HOT Mixed Layer ~25% narB,23.75 N,-158.00 E,5,8/1/09
AG-910-G11,1,4,SAR11_Surface2_Alphaproteobacteria,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SAR11_clade;f__Surface_2;g__?;s__?,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Pelagibacteraceae;g__Candidatus_Pelagibacter;s__Candidatus_Pelagibacter_ubique,0.21,942715,34,251721,29.58476316,85.0,4015203,SWC-09,BATS ML,BATS Mixed Layer ~20% narB,31.07 N,-64.17 E,10,7/1/09
AG-916-K14,1,4,SAR11_Unclass_Alphaproteobacteria,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SAR11_clade;f__?;g__?;s__?,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Pelagibacteraceae;g__Candidatus_Pelagibacter;s__Candidatus_Pelagibacter_ubique,0.18,939115,18,161564,29.74140547,81.0,3320401,SWC-09,BATS ML,BATS Mixed Layer ~20% narB,31.07 N,-64.17 E,10,7/1/09
AG-461-E04,1,4,SAR11_Surface2_Alphaproteobacteria,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SAR11_clade;f__Surface_2;g__?;s__?,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Pelagibacteraceae;g__Candidatus_Pelagibacter;s__Candidatus_Pelagibacter_ubique,<0.5,1005905,30,114681,29.71254741,96.0,3004496,SWC-22,GEOTRACES,32.5 S Line SW Pacific,-32.50 N,-170.00 E,75,5/1/11
AG-911-E05,1,4,SAR11_Unclass_Alphaproteobacteria,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SAR11_clade;f__?;g__?;s__?,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Pelagibacteraceae;g__Candidatus_Pelagibacter;s__Candidatus_Pelagibacter_ubique,0.23,957569,26,280839,29.85967591,85.0,2989192,SWC-09,BATS ML,BATS Mixed Layer ~20% narB,31.07 N,-64.17 E,10,7/1/09
AG-333-P08,1,4,SAR11_Surface2_Alphaproteobacteria,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SAR11_clade;f__Surface_2;g__?;s__?,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Pelagibacteraceae;g__Candidatus_Pelagibacter;s__Candidatus_Pelagibacter_ubique,<0.5,919904,37,229372,29.49264271,80.0,2306763,SWC-04,BiG-RAPA,"DCM, <1% PAR",-23.46 N,-88.77 E,112,12/1/10
AG-325-E20,1,4,SAR11_Surface3_Alphaproteobacteria,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SAR11_clade;f__Surface_3;g__?;s__?,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Pelagibacteraceae;g__Candidatus_Pelagibacter;s__Candidatus_Pelagibacter_ubique,<0.5,1071569,8,739086,29.38345548,96.0,2580206,SWC-03,BiG-RAPA,"Mixed layer, 50% PAR",-23.46 N,-88.77 E,14,12/1/10
AG-461-B21,1,4,SAR11_Unclass_Alphaproteobacteria,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SAR11_clade;f__?;g__?;s__?,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Pelagibacteraceae;g__Candidatus_Pelagibacter;s__Candidatus_Pelagibacter_ubique,<0.5,815218,21,215344,29.26297015,81.0,3353974,SWC-22,GEOTRACES,32.5 S Line SW Pacific,-32.50 N,-170.00 E,75,5/1/11
AG-404-C23,1,4,SAR11_Surface3_Alphaproteobacteria,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SAR11_clade;f__Surface_3;g__?;s__?,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Pelagibacteraceae;g__Candidatus_Pelagibacter;s__Candidatus_Pelagibacter_ubique,<0.5,967102,20,209481,29.44839324,85.0,5378849,SWC-08,HOT DCM,HOT DCM region >30% narB (HLII and LLI),23.75 N,-158.00 E,100,11/1/09
AG-896-O16,1,4,SAR11_Unclass_Alphaproteobacteria,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SAR11_clade;f__?;g__?;s__?,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Pelagibacteraceae;g__Candidatus_Pelagibacter;s__Candidatus_Pelagibacter_ubique,0.19,839672,39,153208,29.89429206,82.0,3616734,SWC-09,BATS ML,BATS Mixed Layer ~20% narB,31.07 N,-64.17 E,10,7/1/09
AG-913-I14,1,4,SAR11_Unclass_Alphaproteobacteria,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SAR11_clade;f__?;g__?;s__?,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Pelagibacteraceae;g__Candidatus_Pelagibacter;s__Candidatus_Pelagibacter_ubique,0.22,1047064,18,230704,29.50898894,97.0,4262580,SWC-09,BATS ML,BATS Mixed Layer ~20% narB,31.07 N,-64.17 E,10,7/1/09
AG-919-C22,1,4,SAR11_Unclass_Alphaproteobacteria,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SAR11_clade;f__?;g__?;s__?,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Pelagibacteraceae;g__Candidatus_Pelagibacter;s__Candidatus_Pelagibacter_ubique,0.22,858459,38,113968,30.45538576,86.0,2796411,SWC-09,BATS ML,BATS Mixed Layer ~20% narB,31.07 N,-64.17 E,10,7/1/09
AG-313-A04,1,4,SAR11_Surface2_Alphaproteobacteria,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SAR11_clade;f__Surface_2;g__?;s__?,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Pelagibacteraceae;g__Candidatus_Pelagibacter;s__Candidatus_Pelagibacter_ubique,<0.5,959028,19,288767,29.90830299,92.0,19107364,SWC-01,BiG-RAPA,Oxygenated surface water,-20.08 N,-70.80 E,20,11/1/10
AG-390-M15,1,4,SAR11_Surface2_Alphaproteobacteria,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SAR11_clade;f__Surface_2;g__?;s__?,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Pelagibacteraceae;g__Candidatus_Pelagibacter;s__Candidatus_Pelagibacter_ubique,<0.5,960392,24,374602,29.33979042,86.0,2432983,SWC-11,GEOTRACES,Northern edge of Sargasso Sea,36.20 N,-53.31 E,10,5/1/10
AG-426-L23,1,4,SAR11_Unclass_Alphaproteobacteria,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SAR11_clade;f__?;g__?;s__?,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Pelagibacteraceae;g__Candidatus_Pelagibacter;s__Candidatus_Pelagibacter_ubique,<0.5,987485,10,637871,29.48146048,87.0,9803890,SWC-15,GEOTRACES,"Off the North American Shelf, SE of WHOI",38.32 N,-68.87 E,90,11/1/11
AG-349-D08,1,4,SAR11_Unclass_Alphaproteobacteria,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SAR11_clade;f__?;g__?;s__?,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Pelagibacteraceae;g__Candidatus_Pelagibacter;s__Candidatus_Pelagibacter_ubique,<0.5,900439,32,116083,29.5348158,90.0,2954957,SWC-07,HOT ML,HOT Mixed Layer ~25% narB,23.75 N,-158.00 E,5,8/1/09
